Transaction Description,Category,Price (₹)
Taxi Service,Transportation,1892.45
Gaming Subscription,Entertainment,3040.31
Amazon Purchase,Shopping,3215.28
Bike Servicing,Utilities,3124.89
Gym Membership,Health & Fitness,276.82
Uber Ride,Transportation,989.14
Starbucks Coffee,Food & Drinks,3475.27
Restaurant Dinner,Food & Drinks,3597.5
Bike Servicing,Utilities,2691.3
Credit Card Bill,Finance,3979.74
Electricity Bill,Utilities,1966.94
Doctor Visit,Health,1701.3
Streaming Service,Entertainment,1383.93
Online Grocery,Food & Drinks,4951.63
Taxi Service,Transportation,4543.17
Phone Bill,Utilities,2253.56
Home Appliance Purchase,Shopping,805.55
Train Ticket,Travel,4462.97
Grocery Shopping,Utilities,1084.52
Water Bill,Utilities,607.59
Gym Membership,Health & Fitness,3258.33
Starbucks Coffee,Food & Drinks,3691.63
Flight Ticket,Travel,3514.73
Event Registration,Education,2803.61
Software License,Technology,455.61
Clothing Store,Shopping,661.91
Gym Equipment,Health & Fitness,1294.16
Streaming Service,Entertainment,4307.59
Train Ticket,Travel,3650.91
Home Appliance Purchase,Shopping,1510.69
Pet Food Purchase,Shopping,2599.83
Doctor Visit,Health,2240.85
Water Bill,Utilities,4785.55
Hotel Booking,Travel,2021.09
Uber Ride,Transportation,1823.46
Pharmacy,Health,2910.96
Taxi Service,Transportation,3616.25
Medical Checkup,Health,423.08
Car Wash,Utilities,1971.97
Electric Scooter Rental,Transportation,474.91
Beauty Salon,Lifestyle,3515.72
Movie Ticket,Entertainment,3972.21
Pet Food Purchase,Shopping,872.61
Streaming Service,Entertainment,2040.21
Cloud Storage Subscription,Technology,2479.18
Gas Station,Transportation,4584.43
Hotel Booking,Travel,2944.32
Fast Food Order,Food & Drinks,4003.14
Event Registration,Education,3219.73
Electric Scooter Rental,Transportation,4137.2
Home Rent,Housing,832.05
Car Maintenance,Utilities,2669.74
Theater Ticket,Entertainment,948.51
Taxi Fare,Transportation,1000.81
Home Rent,Housing,1103.63
Library Membership,Education,3289.2
Online Grocery,Food & Drinks,829.55
Concert Ticket,Entertainment,2291.11
Gym Equipment,Health & Fitness,315.39
Netflix Subscription,Entertainment,1546.2
Netflix Subscription,Entertainment,3837.3
Gym Membership,Health & Fitness,1729.19
Doctor Visit,Health,4009.77
Insurance Payment,Insurance,440.78
McDonald's,Food & Drinks,1766.15
Car Wash,Utilities,4100.31
Doctor Visit,Health,3936.09
Car Wash,Utilities,2561.66
Doctor Visit,Health,3649.96
Bookstore,Education,3342.3
Car Wash,Utilities,3969.61
Gas Station,Transportation,674.82
Flight Ticket,Travel,4348.66
Online Course,Education,576.71
Fast Food Order,Food & Drinks,3025.19
Water Bill,Utilities,2616.21
Public Transport Pass,Transportation,2803.23
Car Wash,Utilities,4042.64
Public Transport Pass,Transportation,3749.34
Event Registration,Education,95.33
Amazon Purchase,Shopping,55.85
Theater Ticket,Entertainment,2080.99
Fast Food Order,Food & Drinks,1064.0
Water Bill,Utilities,841.47
Theater Ticket,Entertainment,4416.58
Flight Ticket,Travel,2896.92
McDonald's,Food & Drinks,3182.03
Concert Ticket,Entertainment,1363.97
Online Grocery,Food & Drinks,1700.34
Online Grocery,Food & Drinks,3656.32
Car Maintenance,Utilities,741.13
Grocery Shopping,Utilities,4421.85
Car Maintenance,Utilities,4324.61
Bookstore,Education,829.45
Restaurant Dinner,Food & Drinks,927.14
Event Registration,Education,2484.06
Electric Scooter Rental,Transportation,1101.94
Streaming Service,Entertainment,1204.05
Car Maintenance,Utilities,3379.98
Taxi Fare,Transportation,875.21
Electricity Bill,Utilities,264.97
Pet Food Purchase,Shopping,2807.82
Cloud Storage Subscription,Technology,4590.82
Car Wash,Utilities,583.98
Gaming Subscription,Entertainment,3864.24
McDonald's,Food & Drinks,247.22
Restaurant Dinner,Food & Drinks,2371.19
Public Transport Pass,Transportation,4756.06
Water Bill,Utilities,3170.23
McDonald's,Food & Drinks,3994.94
Credit Card Bill,Finance,373.19
Phone Bill,Utilities,1008.81
Gas Station,Transportation,4195.69
Gym Membership,Health & Fitness,2262.14
Taxi Service,Transportation,2951.76
Gaming Subscription,Entertainment,2816.41
Starbucks Coffee,Food & Drinks,273.01
Car Maintenance,Utilities,430.88
Online Grocery,Food & Drinks,3097.72
Restaurant Dinner,Food & Drinks,3016.59
Credit Card Bill,Finance,3422.45
Water Bill,Utilities,3238.27
Streaming Service,Entertainment,4557.05
Electronics Store,Shopping,2027.12
Train Ticket,Travel,1844.73
Netflix Subscription,Entertainment,3580.96
Software License,Technology,4590.1
Home Rent,Housing,2373.56
Clothing Store,Shopping,4283.28
Pet Food Purchase,Shopping,3707.27
McDonald's,Food & Drinks,3364.54
Restaurant Dinner,Food & Drinks,4890.41
Gym Membership,Health & Fitness,61.53
Car Wash,Utilities,4091.92
Event Registration,Education,2907.29
Doctor Visit,Health,2580.18
Medical Checkup,Health,1768.29
Netflix Subscription,Entertainment,1346.72
Movie Ticket,Entertainment,3175.91
Medical Checkup,Health,4336.9
Insurance Payment,Insurance,4556.75
Bookstore,Education,2166.5
Online Grocery,Food & Drinks,2908.45
Home Appliance Purchase,Shopping,2762.5
